,0,1,2,3,4
A0,-0.4448263457105207,0.07539882353500478,0.023410488104011768,-0.2784783211715351,-0.05270467700209546
A1,-0.2678426260337193,0.04050025181286774,-0.3808704493424813,0.03349288724453128,0.17058823808947307
A2,0.20632200696129285,0.07707130524480456,0.513614414444213,-0.38611710853092035,0.0503666201087803
A3,0.10882713020689137,-0.05096435172837302,0.22706749922215808,-0.2911576782370275,-0.4901259016340365
A4,0.29392337793604434,0.4051456264456314,-0.24680162933062882,-0.05039694662907278,-0.017150415612313216
A5,0.4260512114469222,0.05792002136216569,0.019530686685247576,0.08431568618618494,-0.3281243945371505
A6,-0.14591915127714875,0.19309690736859886,-0.26823243976275396,-0.47776677068906404,-0.17059302360251646
A7,0.17353037078166791,0.39358555489472397,0.26815291084973675,0.052925064576809386,0.39178390257159545
A8,0.20013279402104614,-0.22213363225046004,-0.3323564490528675,0.24845558753164612,-0.3482855427279096
A9,-0.17723380477427086,-0.1053137496068464,0.34305377142125987,0.3463795250154147,-0.23025327315582325
A10,0.20674858632470575,0.1283777806908377,-0.20386965193396106,0.0020687174320628346,-0.10520587937388294
A11,-0.04279980227038865,0.49668358548191255,-0.03523052733193675,-0.009163513829287344,-0.3654979558499266
A12,-0.010765405181779876,-0.4741274693655972,-0.00048160662536081433,-0.3638903981704613,-0.10059700209871127
A13,-0.4073671020356023,0.24423334667153196,0.01832767644632415,-0.006768176461306411,-0.19799158384887308
A14,-0.27305009112083206,0.12801220131287255,0.25019243916951284,0.36400338631223633,-0.25789235573774705
