,A0,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13,A14
2020-01-02,0.0033367432737425465,0.01494079073157611,-0.0020515826376578815,0.0031306770165089835,-0.008540957393017462,-0.02552989815834094,0.006536185954403587,0.008644361988594924,-0.007421650204064464,0.02269754623987608,-0.014543656745987768,0.0004575851730144398,-0.0018718385002581854,0.015327792143584654,0.014693587699002817
2020-01-03,0.001549474256969,0.0037816251960215166,-0.0088778574763012,-0.019807964682239113,-0.003479121493261655,0.0015634896910398574,0.012302906807277405,0.0120237984878441,-0.0038732681740796067,-0.0030230275057532615,-0.01048552965067084,-0.014200179371789783,-0.017062701906250206,0.019507753952317824,-0.005096521817516487
2020-01-06,-0.004380743016112013,-0.012527953600499308,0.007774903558319193,-0.016138978475579525,-0.00212740280213952,-0.008954665611936937,0.0038690249785925737,-0.005108051375688598,-0.011806321841224071,-0.00028182228338671713,0.004283318705304246,0.0006651722238317307,0.0030247189773977795,-0.006343220936809572,-0.0036274116598712723
2020-01-07,-0.006724604477759425,-0.003595531615405277,-0.008131462820444623,-0.0172628260233168,0.0017742614225375976,-0.004017809362082522,-0.016301983469660403,0.004627822555257787,-0.009072983643832421,0.0005194539579614363,0.007290905621775297,0.0012898291075739024,0.011394006845433059,-0.01234825820353649,0.004023416411775302
2020-01-08,-0.006848100909403176,-0.00870797149181891,-0.00578849664764404,-0.0031155253212737355,0.0005616534222976107,-0.01165149840783357,0.00900826486954193,0.004656624397304531,-0.01536243686277228,0.01488252193795606,0.01895889176030595,0.01178779571159672,-0.0017992483581236326,-0.010707526215105309,0.010544517269311288
2020-01-09,-0.004031769469731808,0.012224450703824235,0.0020827497807684135,0.009766390364837042,0.003563663971743946,0.0070657316819193435,0.00010500020720831013,0.017858704939058473,0.001269120927036171,0.004019893634447081,0.018831506970562368,-0.013477590611424556,-0.012704849984857287,0.009693967081580204,-0.011731234051141575
2020-01-10,0.019436211856493208,-0.004136189807597469,-0.00747454811440755,0.01922942026480389,0.01480514791434426,0.018675589604265734,0.009060446582753864,-0.008612256850547034,0.019100649530990426,-0.0026800337095138063,0.008024563957964106,0.009472519677737448,-0.0015501009309083714,0.006140793703460661,0.009222066715665153
2020-01-13,0.0037642553115561266,-0.010994007905841792,0.0029823817420605303,0.013263858966870273,-0.006945678597313586,-0.001496345403276826,-0.004351535517216318,0.01849263728479334,0.006722947570124237,0.004074618362411206,-0.007699160744453208,0.005392491912918178,-0.006743326606573622,0.0003183055827436733,-0.006358460783788821
2020-01-14,0.006764332949465226,0.005765908166149455,-0.0020829875557798997,0.003960067126616488,-0.010930615087305143,-0.014912575927055992,0.004393917012645576,0.0016667349537254595,0.006350314368921005,0.02383144774863946,0.009444794869904061,-0.009128222254441485,0.011170162880958574,-0.013159074105115279,-0.004615846048147114
2020-01-15,-0.0006824160532463153,0.017133427216493597,-0.0074475482204843105,-0.008264385386590087,-0.0009845252442543377,-0.006634782863621011,0.011266359221064991,-0.010799315083634048,-0.011474686524110949,-0.004378200447444264,-0.004980324506923186,0.0192953205381698,0.00949420806925775,0.0008755124138520949,-0.012254355188301673
2020-01-16,0.008443629764015624,-0.010002153473895787,-0.015447710967776059,0.011880297923523062,0.003169426119248563,0.009208588237808034,0.0031872765294302914,0.008568306119026921,-0.006510255933001431,-0.010342428417844768,0.006815945182816245,-0.008034096641738474,-0.006895497777501902,-0.004555325035173486,0.00017479159025051905
2020-01-17,-0.003539939112535003,-0.01374951293418014,-0.006436184028328983,-0.02223403152224422,0.006252314510272143,-0.016020576556067447,-0.011043833394284587,0.0005216507926099159,-0.007395629963913137,0.015430145954067444,-0.012928569097234598,0.0026705086934917625,-0.0003928281822750269,-0.011680934977411917,0.0052327666053176665
2020-01-20,-0.0017154633122224712,0.007717905512136684,0.008235041539637392,0.02163235949280706,0.013365279494363754,-0.003691818379424494,-0.0023937917757592313,0.010996595958871204,0.006552637307225967,0.006401315260975892,-0.016169560443108296,-0.00024326124398945745,-0.0073803090920568195,0.0027992459904324822,-0.000981503896429648
2020-01-21,0.009101789080926076,0.003172182151913119,0.007863279621089785,-0.004664190967359347,-0.009444462559182475,-0.0041004969320254355,-0.0001702041386144086,0.0037915173555507233,0.022593089506908352,-0.00042257151660637807,-0.009559450004927694,-0.0034598177569938452,-0.00463595974646092,0.004814814737734577,-0.01540797014444638
2020-01-22,0.000632619942003159,0.0015650653796537698,0.00232181036200286,-0.0059731606896535104,-0.0023792172973600297,-0.014240609089825369,-0.004933198833622035,-0.005428614760167095,0.004160500462614226,-0.011561824318219076,0.007811981017100044,0.014944845444913802,-0.02069985025013537,0.004262587307781075,0.006769080350302535
2020-01-23,-0.006374370255522214,-0.003972718143287885,-0.0013288057758695578,-0.0029779087940172574,-0.0030901296904710693,-0.01676003806329962,0.011523315647831253,0.010796185920368318,-0.008133642592042158,-0.014664243278025237,0.005210648764527589,-0.005757879698130852,0.001419531633207777,-0.003193284171450845,0.0069153875107018535
2020-01-24,0.0069474914365601345,-0.007255973784635827,-0.013833639553950621,-0.015829383973350767,0.006103793791071843,-0.011888592577840343,-0.005068163542986813,-0.005963140384505068,-0.0005256729626953873,-0.019362798058465136,0.0018877859679381646,0.005238910238341962,0.0008842208704466586,-0.003108861716984831,0.0009740016626877405
